Company,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price
MSI,Netbook,15.32,Full HD 3840x2160,AMD Ryzen 5 1.58GHz,32GB,256GB SSD,AMD Radeon R2,Windows 7,3.42kg,239382.85
Huawei,Netbook,17.8,Full HD 1366x768,Intel Core i7 3.8GHz,32GB,1TB SSD,AMD Radeon R5 430,Linux,0.99kg,241148.17
MSI,2 in 1 Convertible,13.39,Full HD 1366x768,AMD Ryzen 7 2.59GHz,4GB,1TB SSD,Intel HD Graphics 400,Windows 10 S,2.44kg,126802.1
Asus,Notebook,15.6,Full HD 1920x1080,AMD A10-Series A10-9620P 2.5GHz,4GB,128GB SSD +  1TB HDD,AMD Radeon R5 M430,Windows 10,2.2kg,30636
Mediacom,Netbook,14.35,Full HD 1920x1080,AMD Ryzen 7 1.72GHz,8GB,512GB SSD + 1TB HDD,Intel HD Graphics 630,Windows 10,1.93kg,245150.64
Apple,Notebook,11.48,Full HD 2880x1800,Intel Core i5 3.39GHz,8GB,1TB SSD,Nvidia Quadro M1200,Windows 7,3.64kg,241841.97
Acer,Netbook,15.89,Full HD 2560x1440,Intel Core i7 4.38GHz,8GB,1TB HDD,Nvidia GeForce 920,Android,2.05kg,140887.75
Razer,Notebook,16.15,Full HD 2880x1800,Intel Core i5 3.9GHz,32GB,256GB SSD,Intel HD Graphics 505,Linux,2.65kg,212715.98
Dell,Netbook,12.51,Full HD 2880x1800,AMD Ryzen 7 2.37GHz,8GB,1TB SSD,AMD Radeon R4,No OS,3.71kg,169336.32
Asus,Notebook,15.88,Full HD 2560x1440,AMD Ryzen 7 3.87GHz,16GB,512GB SSD + 1TB HDD,AMD Radeon R5 M420X,Windows 10 S,3.44kg,154082.09
Chuwi,Notebook,15.11,Full HD 1920x1080,Intel Core i7 1.94GHz,32GB,512GB SSD + 1TB HDD,Intel HD Graphics 505,Chrome OS,1.7kg,23348.63
LG,Ultrabook,14.07,Full HD 3840x2160,Intel Core i5 3.1GHz,4GB,1TB HDD,AMD Radeon Pro 560,macOS,1.96kg,200035.37
HP,Gaming,16.46,Full HD 3840x2160,Intel Core i5 2.45GHz,16GB,512GB SSD,Nvidia GeForce GTX 960M,macOS,2.77kg,174254.43
Chuwi,Workstation,17.2,Full HD 3840x2160,AMD Ryzen 5 3.61GHz,8GB,256GB SSD,Intel HD Graphics 500,Mac OS X,2.51kg,54517.79
Xiaomi,Notebook,16.5,Full HD 3840x2160,AMD Ryzen 5 1.8GHz,4GB,1TB HDD,AMD Radeon R4 Graphics,Chrome OS,2.89kg,76103.78
LG,Ultrabook,15.89,Full HD 2880x1800,Intel Core i3 4.18GHz,32GB,256GB SSD,AMD Radeon R2 Graphics,Windows 7,1.16kg,163872.73
Microsoft,Workstation,12.99,Full HD 1920x1080,AMD Ryzen 5 1.82GHz,8GB,1TB HDD,AMD Radeon RX 580,No OS,0.97kg,248966.75
Apple,2 in 1 Convertible,16.71,Full HD 2560x1440,AMD Ryzen 7 3.43GHz,32GB,1TB HDD,Nvidia GeForce 150MX,Windows 10 S,3.28kg,168698.17
Huawei,Ultrabook,15.21,Full HD 2880x1800,AMD Ryzen 5 2.21GHz,16GB,256GB SSD,Nvidia GeForce 920MX,No OS,3.44kg,243496.16
Toshiba,Notebook,13.66,Full HD 3840x2160,Intel Core i7 4.03GHz,32GB,1TB SSD,Intel HD Graphics,Mac OS X,3.44kg,243405.4
Samsung,Netbook,14.01,Full HD 1366x768,AMD Ryzen 5 3.14GHz,16GB,512GB SSD,Intel Iris Pro Graphics,Windows 10,1.3kg,115656.78
Chuwi,Netbook,13.14,Full HD 1920x1080,Intel Core i7 2.37GHz,4GB,256GB SSD,Nvidia GeForce 920M,Windows 10,2.94kg,207240.05
Huawei,Gaming,13.07,Full HD 1366x768,AMD Ryzen 5 3.51GHz,8GB,256GB SSD,Nvidia Quadro M520M,Chrome OS,1.98kg,101046.56
Asus,Netbook,16.77,Full HD 1366x768,AMD Ryzen 5 2.62GHz,4GB,1TB HDD,Nvidia GeForce GTX 1050 Ti,Linux,2.22kg,104000.83
HP,Ultrabook,14,Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,8GB,512GB SSD,Intel HD Graphics 520,Windows 7,1.54kg,99633.6
Chuwi,Notebook,12.94,Full HD 2560x1440,AMD Ryzen 7 4.07GHz,4GB,512GB SSD,AMD Radeon R7 M440,Android,2.76kg,111470.09
Chuwi,Ultrabook,12.51,Full HD 1920x1080,AMD Ryzen 7 2.35GHz,32GB,1TB SSD,Intel HD Graphics 540,Mac OS X,2.93kg,166797.82
Toshiba,Workstation,14.96,Full HD 1920x1080,AMD Ryzen 5 2.08GHz,16GB,1TB HDD,Intel HD Graphics 405,Chrome OS,2.64kg,138927.33
Microsoft,Workstation,13.33,Full HD 3840x2160,Intel Core i3 2.67GHz,4GB,1TB SSD,Nvidia GeForce 920MX,macOS,3.61kg,123508.2
Fujitsu,2 in 1 Convertible,13.18,Full HD 1920x1080,Intel Core i7 2.94GHz,4GB,512GB SSD,AMD FirePro W4190M ,Windows 10,3.67kg,105733.72
Vero,Notebook,11.44,Full HD 1920x1080,Intel Core i3 2.32GHz,32GB,256GB SSD,Intel HD Graphics 530,Chrome OS,3.7kg,104170.24
Lenovo,Workstation,15.5,Full HD 1920x1080,Intel Core i7 3.63GHz,32GB,512GB SSD + 1TB HDD,Intel HD Graphics 6000,Mac OS X,1.77kg,119822.93
Toshiba,Gaming,12.69,Full HD 3840x2160,Intel Core i5 1.9GHz,32GB,1TB HDD,Nvidia GeForce GTX 1070,Mac OS X,2.1kg,36257.77
Razer,2 in 1 Convertible,13.33,Full HD 2880x1800,Intel Core i7 4.02GHz,16GB,512GB SSD + 1TB HDD,Nvidia GeForce GTX 960M,Windows 10 S,1.23kg,79001.36
Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce 940MX,Windows 10,2.3kg,43636.32
Huawei,Workstation,12.6,Full HD 3840x2160,AMD Ryzen 5 3.57GHz,16GB,512GB SSD,AMD Radeon 520,No OS,1.67kg,191730.8
LG,Workstation,16.67,Full HD 1366x768,Intel Core i7 2.9GHz,16GB,256GB SSD,Nvidia GeForce MX130,Android,3.14kg,137343.62
Chuwi,2 in 1 Convertible,11.23,Full HD 3840x2160,AMD Ryzen 7 3.46GHz,32GB,512GB SSD + 1TB HDD,AMD Radeon R7 M445,No OS,2.99kg,115296.47
Lenovo,2 in 1 Convertible,14.96,Full HD 2560x1440,Intel Core i5 3.09GHz,16GB,512GB SSD + 1TB HDD,Nvidia GeForce 930MX,Linux,2.7kg,171983.4
Mediacom,Gaming,13.43,Full HD 3840x2160,AMD Ryzen 5 2.25GHz,16GB,512GB SSD + 1TB HDD,AMD Radeon R3,Windows 10,2.21kg,116092.77
Dell,Workstation,15.6,4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 7700HQ 2.8GHz,8GB,256GB SSD,Nvidia Quadro M1200,Windows 10,1.78kg,144495.36
Chuwi,2 in 1 Convertible,15.48,Full HD 3840x2160,AMD Ryzen 5 2.34GHz,32GB,1TB HDD,AMD Radeon R5 520,Windows 10,3.26kg,242814.4
HP,Notebook,17.3,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Nvidia GeForce 930MX,Windows 10,2.63kg,57542.4
Lenovo,Ultrabook,14.24,Full HD 1920x1080,Intel Core i7 4.37GHz,8GB,512GB SSD + 1TB HDD,Nvidia GeForce 930M,Chrome OS,2.03kg,226396.48
Toshiba,Netbook,12.87,Full HD 2560x1440,Intel Core i3 4.28GHz,4GB,1TB HDD,Intel Iris Plus Graphics 650,Mac OS X,2.99kg,57417.42
Asus,Notebook,17.3,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,1TB HDD,Nvidia GeForce 920MX,Windows 10,2kg,30049.92
HP,Notebook,14,1366x768,Intel Celeron Dual Core N3060 1.6GHz,2GB,32GB Flash Storage,Intel HD Graphics 400,Windows 10,1.44kg,13266.72
HP,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,12GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.62kg,66546.72
Lenovo,Notebook,17.3,1600x900,Intel Core i5 6200U 2.3GHz,8GB,1.0TB HDD,AMD Radeon R5 M330,Windows 10,3.0kg,35111.52
Apple,Netbook,16.17,Full HD 1366x768,Intel Core i3 4.43GHz,16GB,1TB HDD,Intel HD Graphics 5300,macOS,1.52kg,148329.57
Samsung,Notebook,11.29,Full HD 2560x1440,AMD Ryzen 7 3.53GHz,8GB,1TB SSD,Nvidia GeForce GTX 1070,Mac OS X,1.46kg,39159.8
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16GB,256GB SSD +  2TB HDD,AMD Radeon 530,Linux,2.02kg,55890.72
Huawei,Notebook,16.43,Full HD 1920x1080,Intel Core i3 4.3GHz,32GB,1TB HDD,Nvidia GeForce GTX 980M,No OS,2.33kg,149426.3
Toshiba,Ultrabook,12.17,Full HD 2560x1440,Intel Core i3 3.14GHz,4GB,256GB SSD,Intel HD Graphics 620,Windows 7,3.49kg,150711.5
Chuwi,Netbook,14.53,Full HD 3840x2160,Intel Core i7 2.23GHz,4GB,256GB SSD,Nvidia GeForce GTX 1050,No OS,1.66kg,86776.94
Dell,Notebook,15.6,1366x768,Intel Core i5 7300U 2.6GHz,4GB,500GB HDD,Intel HD Graphics 620,Linux,1.93kg,46300.32
Apple,Workstation,16.28,Full HD 2880x1800,AMD Ryzen 7 2.7GHz,32GB,512GB SSD + 1TB HDD,AMD Radeon R5 M420,Android,2.89kg,172786.06
Huawei,Netbook,17.69,Full HD 1366x768,AMD Ryzen 7 4.15GHz,4GB,1TB HDD,ARM Mali T860 MP4,Windows 10,2.69kg,190034.45
Dell,Ultrabook,14,Full HD 1920x1080,Intel Core i7 7600U 2.8GHz,8GB,256GB SSD,Intel HD Graphics 620,Linux,1.6kg,58554.72
Asus,2 in 1 Convertible,15.09,Full HD 1366x768,Intel Core i5 3.71GHz,16GB,256GB SSD,AMD FirePro W4190M,Mac OS X,2.07kg,146674.24
Toshiba,Netbook,13.13,Full HD 1366x768,AMD Ryzen 7 3.5GHz,8GB,1TB SSD,Nvidia GeForce GTX 960,Windows 7,1.12kg,177102.23
Lenovo,2 in 1 Convertible,14,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i3 7100U 2.4GHz,4GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.74kg,33513.12
Razer,Workstation,12.36,Full HD 2560x1440,Intel Core i3 2.25GHz,4GB,1TB SSD,AMD Radeon RX 560,Linux,2.78kg,31130.77
Google,Gaming,17.52,Full HD 3840x2160,AMD Ryzen 7 4.46GHz,4GB,1TB SSD,AMD Radeon R5,Android,1.09kg,146402.41
Lenovo,2 in 1 Convertible,14,IPS Panel Touchscreen 2560x1440,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.42kg,124142.4
MSI,2 in 1 Convertible,14.67,Full HD 1920x1080,Intel Core i3 1.67GHz,8GB,1TB HDD,AMD Radeon R7 M365X,Windows 10,3.75kg,216262.77
Samsung,Gaming,14.31,Full HD 1920x1080,Intel Core i7 1.96GHz,8GB,512GB SSD + 1TB HDD,AMD Radeon R7 M465,Chrome OS,2.74kg,201306.29
Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4GB,128GB SSD,Intel HD Graphics 620,No OS,2.2kg,24935.04
Razer,Ultrabook,12.5,Touchscreen / 4K Ultra HD 3840x2160,Intel Core i7 6500U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 520,Windows 10,1.25kg,54825.12
Apple,Ultrabook,12,IPS Panel Retina Display 2304x1440,Intel Core M m3 1.2GHz,8GB,256GB SSD,Intel HD Graphics 615,macOS,0.92kg,67260.672
HP,Netbook,12.5,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,512GB SSD,Intel HD Graphics 620,Windows 10,1.26kg,79014.24
Lenovo,2 in 1 Convertible,10.1,IPS Panel Touchscreen 1920x1200,Intel Atom x5-Z8550 1.44GHz,4GB,64GB Flash Storage,Intel HD Graphics 400,Windows 10,0.69kg,25521.12
Dell,2 in 1 Convertible,12.61,Full HD 1366x768,Intel Core i7 2.06GHz,4GB,1TB SSD,Intel Iris Graphics 540,Windows 10,1.8kg,104920.1
Microsoft,2 in 1 Convertible,14.7,Full HD 3840x2160,Intel Core i7 3.19GHz,8GB,512GB SSD + 1TB HDD,Nvidia GeForce GTX 930MX,Android,0.94kg,224078.96
Razer,2 in 1 Convertible,14.71,Full HD 2560x1440,Intel Core i3 4.13GHz,32GB,1TB SSD,AMD R17M-M1-70,Linux,3.74kg,195516.55
Chuwi,Notebook,13.67,Full HD 2560x1440,Intel Core i5 1.55GHz,8GB,512GB SSD + 1TB HDD,Nvidia GeForce GTX 980M,Android,2.72kg,54512.63
LG,Ultrabook,13.67,Full HD 1920x1080,Intel Core i3 2.49GHz,8GB,1TB SSD,Nvidia GeForce GTX1050 Ti,Linux,2.49kg,123258.18
Dell,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.62kg,78801.12
Dell,2 in 1 Convertible,15.6,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,1TB HDD,Intel UHD Graphics 620,Windows 10,2.08kg,43636.32
Fujitsu,Workstation,12.87,Full HD 3840x2160,Intel Core i5 1.8GHz,8GB,256GB SSD,Intel Iris Graphics 540,Android,3.01kg,239334.56
Asus,2 in 1 Convertible,17.46,Full HD 1920x1080,Intel Core i3 3.51GHz,4GB,512GB SSD + 1TB HDD,Nvidia GeForce 920M,macOS,2.74kg,186883.02
Lenovo,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.37kg,74538.72
Samsung,Netbook,16.07,Full HD 2880x1800,AMD Ryzen 7 3.83GHz,4GB,1TB HDD,Nvidia GeForce MX130,No OS,2.51kg,205310.58
Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  2TB HDD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.4kg,60153.12
Chuwi,Notebook,12.25,Full HD 2880x1800,Intel Core i7 1.66GHz,32GB,1TB SSD,Nvidia GeForce 930MX,Windows 10 S,2.64kg,177047.8
Chuwi,Netbook,16.45,Full HD 1366x768,Intel Core i5 2.37GHz,8GB,256GB SSD,Nvidia GeForce GTX 965M,Android,3.41kg,28446.03
Mediacom,Netbook,17.06,Full HD 3840x2160,AMD Ryzen 5 2.44GHz,8GB,256GB SSD,AMD Radeon 540,Android,3.54kg,233095.68
Vero,Workstation,14.74,Full HD 1366x768,Intel Core i3 3.04GHz,16GB,1TB SSD,AMD Radeon R7 Graphics,Windows 10,2.98kg,133564.96
Lenovo,Ultrabook,12.5,IPS Panel Full HD 1920x1080,Intel Core i5 7300U 2.6GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.36kg,93772.8
Apple,Ultrabook,17.46,Full HD 2560x1440,AMD Ryzen 7 3.13GHz,32GB,1TB HDD,Nvidia GeForce 930MX,Android,3.4kg,168645.44
Asus,Workstation,14.74,Full HD 1366x768,Intel Core i3 4.39GHz,16GB,256GB SSD,Nvidia Quadro M2200,Chrome OS,1.26kg,98758.33
Microsoft,2 in 1 Convertible,14.83,Full HD 2560x1440,Intel Core i3 3.76GHz,8GB,1TB SSD,Nvidia GeForce GTX 1050M,Windows 10,2.73kg,43054.62
HP,2 in 1 Convertible,14,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i3 7100U 2.4GHz,4GB,128GB SSD,Nvidia GeForce 940MX,Windows 10,1.63kg,37242.72
Xiaomi,Netbook,11.21,Full HD 2560x1440,Intel Core i5 2.09GHz,8GB,512GB SSD + 1TB HDD,Nvidia GeForce GTX 1050,No OS,1.14kg,95839.29
HP,Ultrabook,11.54,Full HD 1920x1080,AMD Ryzen 5 3.32GHz,16GB,512GB SSD,Intel Iris Graphics 540,Linux,3.2kg,142446.11
Apple,Netbook,17.63,Full HD 1920x1080,AMD Ryzen 5 1.73GHz,32GB,512GB SSD,AMD Radeon RX 580,Windows 10,2.67kg,64430.71
HP,Notebook,13.75,Full HD 1366x768,Intel Core i3 2.06GHz,32GB,512GB SSD,Intel HD Graphics 400,Mac OS X,1.56kg,161093.49
HP,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.62kg,47898.72
HP,Notebook,14,Full HD 1920x1080,Intel Core i5 6200U 2.3GHz,4GB,500GB HDD,Intel HD Graphics 520,Windows 10,1.54kg,53280
Dell,Gaming,17.31,Full HD 2560x1440,Intel Core i3 4.14GHz,16GB,512GB SSD + 1TB HDD,Nvidia GeForce GTX 940MX,Linux,2.01kg,245267.12
Vero,2 in 1 Convertible,14.07,Full HD 2880x1800,Intel Core i7 4.02GHz,4GB,512GB SSD + 1TB HDD,Nvidia GeForce GTX 980M,Windows 7,1.89kg,54327.31
Fujitsu,Gaming,14.93,Full HD 3840x2160,AMD Ryzen 5 2.14GHz,32GB,512GB SSD + 1TB HDD,AMD Radeon R7 Graphics,Android,2.02kg,68211.97
Acer,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 950M,Windows 10,2.4kg,42570.72
Lenovo,Ultrabook,14,Full HD 1920x1080,Intel Core i5 6200U 2.3GHz,4GB,180GB SSD,Intel HD Graphics 520,Windows 10,1.7kg,58394.88
Acer,Notebook,15.6,Full HD 1920x1080,AMD A8-Series 7410 2.2GHz,8GB,256GB SSD,AMD Radeon R5,Windows 10,2.23kg,24988.32
MSI,Gaming,15.6,Full HD 1920x1080,Intel Core i7 6700HQ 2.6GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows 10,1.8kg,102777.12
Google,Workstation,17.59,Full HD 2880x1800,Intel Core i7 3.96GHz,32GB,1TB SSD,AMD Radeon R2 Graphics,Android,3.27kg,161277.91
Lenovo,Netbook,15.37,Full HD 3840x2160,Intel Core i7 3.78GHz,4GB,1TB HDD,Nvidia Quadro M2200,Chrome OS,2.97kg,247394.98
Asus,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 980M,Windows 10,4.3kg,95850.72
Toshiba,Workstation,15.08,Full HD 2560x1440,Intel Core i7 2.46GHz,16GB,1TB SSD,Nvidia GeForce 940M,No OS,3.45kg,242136.55
Vero,2 in 1 Convertible,12.03,Full HD 2560x1440,AMD Ryzen 7 1.55GHz,16GB,1TB SSD,AMD FirePro W4190M ,macOS,1.48kg,87101.03
Apple,Netbook,13.13,Full HD 2880x1800,Intel Core i5 4.24GHz,4GB,512GB SSD,Intel HD Graphics 5300,Linux,2.69kg,103721.27
MSI,Workstation,15.66,Full HD 3840x2160,Intel Core i7 3.77GHz,8GB,256GB SSD,AMD Radeon Pro 560,No OS,2.08kg,39041.2
Asus,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows 10,2.7kg,85194.72
Google,Notebook,11.64,Full HD 1920x1080,AMD Ryzen 5 2.88GHz,16GB,512GB SSD + 1TB HDD,Nvidia GeForce GTX 1050Ti,Windows 10,2.57kg,81265.1
Vero,2 in 1 Convertible,13.76,Full HD 3840x2160,AMD Ryzen 7 1.91GHz,16GB,512GB SSD,Nvidia GeForce 930MX,Linux,1.75kg,222637.9
Acer,Ultrabook,13.92,Full HD 1366x768,AMD Ryzen 5 2.86GHz,4GB,1TB HDD,Nvidia GeForce GTX 960,Windows 10 S,2.33kg,89649.29
Razer,Ultrabook,17.97,Full HD 2560x1440,AMD Ryzen 7 3.47GHz,32GB,1TB SSD,AMD Radeon R2,macOS,3.24kg,179170.4
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Nvidia GeForce 940MX,Windows 10,2kg,60885.72
Mediacom,Workstation,17.61,Full HD 2880x1800,AMD Ryzen 7 1.82GHz,8GB,1TB HDD,AMD Radeon Pro 555,Windows 7,1.95kg,95520.98
Lenovo,Netbook,16.53,Full HD 1920x1080,Intel Core i5 2.92GHz,8GB,256GB SSD,Nvidia GeForce GTX 965M,Windows 10,2.01kg,210942.96
Lenovo,Ultrabook,13.48,Full HD 2880x1800,Intel Core i3 2.27GHz,8GB,1TB HDD,AMD Radeon RX 560,Mac OS X,3.22kg,72094.71
Vero,Gaming,11.34,Full HD 2560x1440,Intel Core i5 2.19GHz,16GB,512GB SSD + 1TB HDD,Nvidia GeForce GTX 940M,Windows 10 S,3.22kg,112943.17
Mediacom,2 in 1 Convertible,11.33,Full HD 2880x1800,AMD Ryzen 7 4.49GHz,32GB,512GB SSD,Nvidia GeForce GTX 960,Windows 10,2.22kg,210293.52
MSI,Gaming,15.19,Full HD 1366x768,Intel Core i3 3.83GHz,8GB,512GB SSD,Nvidia GeForce GTX 940MX,Windows 10 S,3.4kg,162475.88
Microsoft,2 in 1 Convertible,13.92,Full HD 3840x2160,Intel Core i5 3.25GHz,16GB,1TB HDD,Nvidia GeForce GTX 1050Ti,Chrome OS,2.38kg,246233.08
Chuwi,Gaming,11.19,Full HD 1366x768,Intel Core i7 2.47GHz,8GB,512GB SSD,AMD Radeon 540,Android,2.07kg,51514.63
Razer,Ultrabook,12.72,Full HD 1920x1080,Intel Core i5 4.24GHz,32GB,512GB SSD + 1TB HDD,Intel Iris Graphics 550,No OS,3.19kg,90137.62
Razer,Gaming,17.92,Full HD 2880x1800,AMD Ryzen 5 2.95GHz,4GB,512GB SSD,Nvidia GeForce GTX 960,Mac OS X,3.56kg,248366.91
Chuwi,Notebook,12.3,IPS Panel Retina Display 2736x1824,Intel Celeron Quad Core N3450 1.1GHz,6GB,64GB Flash Storage,Intel HD Graphics 500,Windows 10,1.4kg,23922.72
Samsung,Notebook,16.28,Full HD 3840x2160,Intel Core i7 4.49GHz,16GB,256GB SSD,AMD Radeon R7 M360,Linux,1.26kg,154952.2
Asus,Gaming,16.46,Full HD 1366x768,Intel Core i7 3.58GHz,16GB,1TB HDD,AMD Radeon R2,Windows 10 S,3.36kg,127707.67
Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows 10,2.5kg,63349.92
Samsung,Netbook,14.13,Full HD 1920x1080,Intel Core i7 3.26GHz,8GB,256GB SSD,Nvidia GeForce GTX1060,macOS,2.19kg,213140.3
Microsoft,Netbook,11.34,Full HD 2880x1800,Intel Core i3 3.16GHz,4GB,512GB SSD + 1TB HDD,AMD FirePro W6150M,macOS,3.75kg,118966.63
Fujitsu,Gaming,11.67,Full HD 2880x1800,Intel Core i5 2.36GHz,4GB,1TB HDD,Nvidia GeForce GTX1060,Mac OS X,2.43kg,98646.88
Fujitsu,Gaming,12.5,Full HD 1366x768,AMD Ryzen 5 2.99GHz,32GB,512GB SSD + 1TB HDD,Intel HD Graphics 615,Linux,2.09kg,81724.73
MSI,Gaming,17.3,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.7kg,58341.6
Asus,Notebook,15.6,1366x768,AMD E-Series 7110 1.8GHz,4GB,500GB HDD,AMD Radeon R2 Graphics,Windows 10,2kg,18594.72
Huawei,Ultrabook,13.89,Full HD 2880x1800,Intel Core i5 2.39GHz,4GB,256GB SSD,AMD Radeon RX 560,Windows 10,2.3kg,127077.53
Huawei,2 in 1 Convertible,15.47,Full HD 1920x1080,Intel Core i7 3.83GHz,4GB,512GB SSD,AMD Radeon R7 M365X,Chrome OS,2.46kg,144935.17
Huawei,2 in 1 Convertible,15.63,Full HD 1920x1080,AMD Ryzen 5 3.4GHz,32GB,512GB SSD,Nvidia GeForce GTX 1060,Chrome OS,3.25kg,75429.83
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Nvidia GeForce 940MX,Windows 10,2.18kg,53807.472
Lenovo,Ultrabook,14.45,Full HD 1366x768,Intel Core i7 2.57GHz,8GB,1TB HDD,Nvidia Quadro M3000M,No OS,2.5kg,222367.1
HP,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.84kg,60952.32
Asus,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,256GB SSD,Nvidia GeForce GTX 1050,Windows 10,2.5kg,53226.72
Apple,Workstation,15.71,Full HD 3840x2160,Intel Core i3 1.55GHz,16GB,1TB SSD,Nvidia GeForce 920MX ,Mac OS X,1.0kg,44735.25
Google,2 in 1 Convertible,15.45,Full HD 1920x1080,AMD Ryzen 5 3.94GHz,4GB,512GB SSD + 1TB HDD,Nvidia GeForce GTX 960<U+039C>,Linux,2.62kg,160535.01
Dell,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,1TB HDD,Nvidia GeForce GTX 1050Ti,Windows 10,2.62kg,63882.72
Chuwi,Notebook,13.26,Full HD 3840x2160,AMD Ryzen 7 3.71GHz,8GB,256GB SSD,AMD FirePro W4190M ,Windows 10,1.15kg,173595.45
Google,Ultrabook,17.36,Full HD 2560x1440,Intel Core i7 3.45GHz,32GB,1TB HDD,Nvidia GeForce GTX 960M,Linux,1.38kg,105002.93
Toshiba,Netbook,14.53,Full HD 3840x2160,AMD Ryzen 5 2.79GHz,16GB,1TB SSD,Nvidia Quadro 3000M,Windows 10 S,1.14kg,85013.52
Vero,Netbook,14.01,Full HD 3840x2160,AMD Ryzen 5 3.92GHz,16GB,256GB SSD,AMD Radeon R4 Graphics,Mac OS X,2.76kg,134002.14
MSI,Ultrabook,16.7,Full HD 2880x1800,AMD Ryzen 5 1.91GHz,4GB,1TB SSD,AMD Radeon R7 M365X,Chrome OS,3.33kg,120619.32
Razer,Netbook,13.23,Full HD 1920x1080,AMD Ryzen 7 4.15GHz,16GB,256GB SSD,Nvidia Quadro M2000M,Mac OS X,3.49kg,192668.32
Toshiba,Netbook,15.74,Full HD 3840x2160,AMD Ryzen 5 1.63GHz,16GB,512GB SSD + 1TB HDD,Nvidia GeForce 960M,No OS,1.56kg,178064.69
Lenovo,Notebook,14.5,Full HD 1366x768,Intel Core i3 2.62GHz,4GB,256GB SSD,Intel HD Graphics 505,No OS,1.93kg,153096.28
Chuwi,Ultrabook,14.66,Full HD 1366x768,Intel Core i7 4.23GHz,32GB,1TB SSD,Nvidia GeForce 960M,Windows 10,3.48kg,248137.51
HP,Notebook,14,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.95kg,64202.4
Lenovo,Notebook,16.49,Full HD 1366x768,AMD Ryzen 5 3.56GHz,32GB,256GB SSD,Nvidia GeForce GTX 1050Ti,Linux,2.14kg,208295.64
